ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e20 cm^-2)
1357,596,352,105.11,-4.21,217.71,0.08,3.09,270.05,93.27,2.8,26.27,31.97,0.0
20085,54,10,118.66,-12.76,231.64,7.8,3.96,159.75,150.29,0.87,8.17,6.26,0.0
20179,417,203,109.59,-7.94,223.07,2.31,19.41,146.66,148.59,1.73,16.23,10.06,0.0
20358,99,62,117.54,-11.46,229.95,7.49,7.87,152.5,107.98,1.04,9.71,7.43,0.0
20852,102,45,117.46,-11.89,230.28,7.22,6.89,150.29,44.4,0.68,6.36,3.7,0.0
20962,169,10,115.79,-12.76,230.23,5.36,12.93,136.4,32.25,1.53,14.34,8.56,0.0
21147,180,38,115.51,-12.06,229.49,5.47,3.7,143.44,120.47,0.8,7.47,7.75,0.0
21333,139,59,116.54,-11.54,229.52,6.6,6.51,132.37,93.52,0.81,7.56,7.71,0.0
21649,2,39,119.96,-12.04,231.65,9.26,7.67,132.57,292.1,1.33,12.49,6.85,0.0
21689,148,3,116.31,-12.94,230.64,5.72,5.51,138.61,-41.08,0.66,6.12,5.21,0.0
22186,193,3,115.19,-12.94,230.1,4.77,5.73,136.6,128.28,0.69,6.44,4.91,0.0
22205,400,190,110.01,-8.26,223.55,2.53,5.78,133.38,219.31,0.7,6.52,4.93,0.0
