ID,Type,Name,RA,Dec,VLSR,VGSR,VLGSR,FWHM,MajAxis,MinAxis,PA,Size,TPeak,NHI,Flux,GNAME
1,XHVC,000.2+07.0-095,259.9,-25.0166666667,-95,-94,-160,39,0.6,0.4,83,6.49,1.73,1.23,1506.2,
2,XHVC,001.3+05.0-089,262.45,-25.2166666667,-89,-85,-148,34,0.5,0.3,56,1.68,1.19,0.73,365.0,
3,XHVC,002.7-03.1+132,271.0,-28.1833333333,132,143,85,40,0.2,0.2,-37,0.81,0.72,0.57,122.1,
4,XHVC,004+05-095    ,263.8,-23.2833333333,-95,-81,-143,29,12.1,8.3,-48,1.28,0.68,0.33,124.3,
5,XHVC,004.3+05.1-097,264.15,-22.5666666667,-97,-81,-142,36,0.6,0.3,-44,2.66,1.14,0.98,555.7,
6,XHVC,005.9+08.9-114,261.575,-19.1666666667,-114,-91,-154,35,0.4,0.3,-41,1.59,0.16,0.11,58.8,
7,XHVC,010.6-14.2+092,286.05,-26.1,92,131,88,52,0.2,0.2,73,0.24,0.48,0.28,20.1,
8,XHVC,012.4+15.6-094,259.325,-10.25,-94,-48,-107,32,0.2,0.2,66,0.65,0.78,0.49,85.4,
9,XHVC,013.4+07.0-101,267.3,-13.8833333333,-101,-50,-105,33,0.4,0.3,-16,1.12,0.96,0.57,196.0,
10,XHVC,015.1-58.2-116,336.6,-32.0833333333,-116,-86,-83,87,0.2,0.2,-41,0.36,0.18,0.22,29.8,
11,XHVC,017.8+07.2-079,269.4,-10.0166666667,-79,-12,-63,35,0.5,0.2,-7,4.61,1.25,0.92,1049.4,
12,XHVC,017.8+15.5-085,262.075,-5.8333333333,-85,-20,-74,59,0.2,0.2,-61,5.13,0.97,0.64,683.6,
13,XHVC,018-11+130    ,286.05,-18.6333333333,130,195,156,39,11.2,5.7,17,0.83,0.27,0.19,53.0,
14,XHVC,018.7+12.8-095,264.85,-6.4833333333,-95,-26,-79,33,1.6,1.0,-5,26.86,2.05,1.45,7301.6,
15,XHVC,019.4+15.0+106,263.3,-4.8166666667,106,177,124,35,0.2,0.1,80,0.21,0.38,0.24,16.0,
16,XHVC,022.6-22.6+089,299.25,-18.8,89,167,142,31,0.5,0.2,54,3.19,0.61,0.4,297.9,
17,XHVC,025.6-46.8-108,324.725,-24.2166666667,-108,-43,-44,34,0.5,0.4,6,1.7,0.44,0.27,166.5,
18,XHVC,027.0+10.9+115,270.425,0.25,115,213,170,41,0.5,0.2,55,1.82,0.72,0.56,272.3,
19,XHVC,027.5-48.6-105,327.05,-23.4333333333,-105,-38,-36,35,0.5,0.4,75,2.49,0.56,0.37,323.2,
20,XHVC,027.5-23.5+135,301.875,-15.0333333333,135,228,209,37,0.7,0.3,82,1.28,0.26,0.19,113.5,
21,XHVC,028.1-16.4+100,295.525,-11.5833333333,100,199,175,35,0.3,0.2,-27,0.92,0.52,0.33,91.7,
22,XHVC,031.1-12.1+105,292.8,-7.1166666667,105,216,191,37,0.9,0.3,57,3.64,0.93,0.79,615.3,
23,XHVC,035.8-10.0+129,293.0,-2.0333333333,129,255,235,55,0.8,0.2,63,1.74,1.31,0.99,350.2,
24,XHVC,039.9-21.2+090,304.825,-3.6833333333,90,222,214,36,1.3,0.5,-82,7.24,2.4,1.94,2274.5,
25,XHVC,045.5-81.9-105,4.1,-25.0833333333,-105,-83,-51,39,0.5,0.4,48,57.33,4.93,4.53,28086.3,
26,XHVC,047.0-28.7+103,314.55,-1.6333333333,103,244,249,37,0.5,0.3,-42,0.8,0.37,0.24,88.8,
27,XHVC,048.6-30.1+104,316.475,-1.1833333333,104,247,255,36,0.4,0.2,-57,0.68,0.59,0.42,114.9,
28,XHVC,061.6-62.0-079,348.0,-11.65,-79,12,46,29,0.7,0.7,-3,4.25,0.61,0.38,462.0,
29,GLXY,095.1-88.0+344,11.8,-25.3333333333,344,352,388,105,0.2,0.1,-85,0.58,2.23,5.09,479.6,NGC253
30,XHVC,197.8-24.4-084,74.45,1.3666666667,-84,-146,-88,46,0.3,0.3,-80,0.65,0.68,0.44,110.8,
31,XHVC,217.3-22.0+103,84.825,-13.5166666667,103,-21,15,37,0.5,0.4,12,1.98,0.75,0.75,321.4,
32,XHVC,220.9-15.4+119,92.5,-13.8666666667,119,-20,10,43,0.6,0.2,0,2.74,0.37,0.32,250.6,
