ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e18 cm^-2)
0,1,1,80.02,-13.02,214.73,-26.06,7.18,-217.76,-100.2,,5.39,15.18,6.1
1,1,1,80.02,-13.02,214.73,-26.06,7.18,-217.76,-100.2,,3.66,15.43,5.33
2,1,1,80.02,-13.02,214.73,-26.06,24.17,-217.76,-100.2,,5.57,25.83,14.16
3,1,1,80.02,-13.02,214.73,-26.06,19.74,-217.76,-100.2,,6.24,16.05,7.76
4,1,1,80.02,-13.02,214.73,-26.06,11.24,-217.76,-100.2,,4.01,16.25,6.35
5,1,1,80.02,-13.02,214.73,-26.06,10.4,-217.76,-100.2,,4.66,17.98,7.99
6,1,1,80.02,-13.02,214.73,-26.06,9.84,-217.76,-100.2,,3.83,15.45,5.74
7,1,1,80.02,-13.02,214.73,-26.06,13.11,-217.76,-100.2,,3.88,15.41,5.91
8,1,1,80.02,-13.02,214.73,-26.06,19.65,-217.76,-100.2,,3.57,15.43,5.19
9,1,1,80.02,-13.02,214.73,-26.06,37.49,-217.76,-100.2,,6.44,15.13,7.85
10,1,1,80.02,-13.02,214.73,-26.06,25.26,-217.76,-100.2,,9.97,17.11,17.13
11,1,1,80.02,-13.02,214.73,-26.06,18.83,-217.76,-100.2,,7.66,17.51,11.65
12,1,1,80.02,-13.02,214.73,-26.06,27.84,-217.76,-100.2,,7.03,19.91,14.63
13,1,1,80.02,-13.02,214.73,-26.06,11.22,-217.76,-100.2,,3.73,15.47,5.67
15,1,1,80.02,-13.02,214.73,-26.06,7.18,-217.76,-100.2,,3.56,15.37,4.84
16,1,1,80.02,-13.02,214.73,-26.06,13.01,-217.76,-100.2,,4.5,15.21,5.85
19,1,1,80.02,-13.02,214.73,-26.06,10.58,-217.76,-100.2,,3.87,15.39,5.4
20,1,1,80.02,-13.02,214.73,-26.06,7.18,-217.76,-100.2,,3.5,15.48,4.84
21,1,1,80.02,-13.02,214.73,-26.06,9.84,-217.76,-100.2,,4.78,15.31,6.26
22,1,1,80.02,-13.02,214.73,-26.06,12.43,-217.76,-100.2,,4.06,15.39,5.82
23,1,1,80.02,-13.02,214.73,-26.06,19.82,-217.76,-100.2,,4.05,24.19,10.27
24,1,1,80.02,-13.02,214.73,-26.06,40.64,-217.76,-100.2,,5.3,30.74,13.71
