ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e18 cm^-2)
0,185,163,67.75,-2.22,197.38,-31.95,14.82,-112.23,-14.51,0.37,10.01,18.18,17.49
1,195,185,67.09,-0.76,195.5,-31.75,13.01,-125.42,11.32,0.18,4.85,16.4,9.24
2,153,212,69.89,1.04,195.44,-28.42,23.0,-72.66,-206.39,0.45,12.03,21.88,24.2
3,35,158,77.75,-2.56,203.3,-23.43,31.91,-72.66,-96.1,0.41,10.95,16.24,20.71
4,149,182,70.15,-0.96,197.55,-29.24,14.43,-59.46,-105.21,0.35,9.42,24.74,17.89
5,85,217,74.42,1.38,197.75,-24.38,20.17,-72.66,-46.14,0.7,18.81,17.83,35.28
6,133,218,71.22,1.44,195.85,-27.08,56.57,-72.66,-143.43,0.99,26.68,15.76,45.73
7,42,175,77.29,-1.42,201.97,-23.29,21.74,-59.46,-106.28,0.4,10.78,15.25,14.96
8,30,169,78.09,-1.82,202.77,-22.78,9.82,-59.46,-212.69,0.23,6.05,15.12,7.31
9,158,169,69.55,-1.82,198.05,-30.2,0.0,-72.66,-82.6,0.19,4.97,15.32,5.56
10,160,170,69.42,-1.76,197.91,-30.28,9.55,-72.66,-71.47,0.23,6.13,15.06,7.61
11,166,179,69.02,-1.16,197.07,-30.31,10.51,-59.46,14.6,0.29,7.81,14.24,8.49
