obsid,uid,gp_id,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,class,subclass,z,z_err,ps_id,mag_ps_g,mag_ps_r,mag_ps_i,mag_ps_z,mag_ps_y,gaia_source_id,gaia_g_mean_mag,fibertype,offsets,offsets_v,ra,dec,fibermask,with_norm_flux
186313041,G17238264097208,312574598678475904,J005602.28+311348.8,2013-12-01,56628,56627,VB011N30V2,13,41,14.009509,31.230227,1.56,16.94,12.99,12.31,6.94,STAR,A7,6.86141e-05,4.69325e-05,1.454701400989665e+17,-999.0,-999.0,-999.0,-999.0,18.182100296,312574598678475904,14.553989,Obj,0,0.0,14.009509,31.230227,0,1
10805236,G17223623277358,2805318538616401792,J005608.96+254947.5,2011-12-03,55899,55898,B9903,5,236,14.037337,25.829878,0.03,10.18,4.21,3.42,2.12,STAR,A1,-0.00013379,1.602e-05,1.3899014037595682e+17,-999.0,-999.0,-999.0,19.5459003448,18.8924007416,2805318538616401792,15.473373,Obj,0,0.0,14.037337,25.829878,0,0
379501083,L17223735691941,379501083,J005623.25+250611.8,2015-10-31,57327,57326,EG005558N271233V01,1,83,14.096891,25.103301,8.01,12.64,22.47,28.07,21.17,STAR,A0,-0.00044333,1.876e-05,1.3812014096445472e+17,-999.0,-999.0,-999.0,-999.0,-999.0,2805209377727555456,13.390154,Obj,0,0.0,14.096891,25.103301,128,0
7710173,G17224974221351,311204534175478784,J005625.62+291425.1,2011-11-24,55890,55889,B9002,10,173,14.1067849,29.2403122,0.82,6.74,6.95,8.05,3.38,STAR,A9,-0.0003091138,4.00277e-05,1.4308014106753898e+17,16.8708992004,16.6051998138,16.5280990601,16.5417995453,16.4974002838,311204534175478784,16.697824,F-Std,0,0.0,14.1067849,29.2403122,0,1
10811148,G17224974221351,311204534175478784,J005625.62+291425.1,2011-12-03,55899,55898,B9903,11,148,14.1067849,29.2403122,0.17,3.33,8.62,12.65,11.47,STAR,A1,-9.591e-05,2.059e-05,1.4308014106753898e+17,16.8708992004,16.6051998138,16.5280990601,16.5417995453,16.4974002838,311204534175478784,16.697824,F-Std,0,0.0,14.1067849,29.2403122,0,0
258609096,G17238285677007,312863495359022720,J005638.30+313643.4,2014-11-03,56965,56964,EG005307N302057V01,9,96,14.1596217,31.6120646,31.79,102.35,132.63,98.2,79.89,STAR,A7,1.48e-05,3.03e-06,1.4593014159254474e+17,-999.0,-999.0,-999.0,-999.0,16.986000061,312863495359022720,12.978005,F-Std,0,0.0,14.1596217,31.6120646,16,0
96302100,G17238285677007,312863495359022720,J005638.31+313643.4,2012-12-25,56287,56286,VB016N33V1,2,100,14.15965,31.612057,15.29,46.04,44.36,28.23,27.97,STAR,A7,-0.0001132784,1.51438e-05,1.4593014159254474e+17,-999.0,-999.0,-999.0,-999.0,16.986000061,312863495359022720,12.978005,Obj,0,0.0,14.15965,31.612057,0,1
379501142,G17223572506220,2805295169698591360,J005645.41+253129.7,2015-10-31,57327,57326,EG005558N271233V01,1,142,14.189243,25.524944,3.41,6.54,11.15,11.79,9.17,STAR,A1,-0.00124119,4.214e-05,1.3863014189339107e+17,18.8404006958,-999.0,-999.0,-999.0,-999.0,2805295169698591360,14.023616,Obj,0,0.0,14.189243,25.524944,128,0
263501032,G17238162695704,312888577968069376,J005646.77+315312.8,2014-11-09,56971,56970,HD005814N335703B01,1,32,14.194882,31.886896,14.91,40.6,65.11,71.92,50.94,STAR,A7,-0.0002985399,1.60778e-05,1.462601419517854e+17,-999.0,-999.0,18.4573993683,-999.0,-999.0,312888577968069376,15.363556,Obj,0,0.0,14.194882,31.886896,0,1
96302095,G17238281815049,312674173200352256,J005658.24+312858.0,2012-12-25,56287,56286,VB016N33V1,2,95,14.242704,31.48278,48.84,122.92,123.65,82.46,75.04,STAR,A6,-2.92202e-05,1.03405e-05,1.4577014242287984e+17,12.710100174,-999.0,-999.0,-999.0,-999.0,312674173200352256,11.530025,Obj,0,0.0,14.242704,31.48278,0,1
186213024,G17238281815049,312674173200352256,J005658.24+312858.0,2013-12-01,56628,56627,VB011N30V1,13,24,14.242704,31.48278,56.36,210.68,123.06,118.06,83.93,STAR,A6,-3.08213e-05,7.6386e-06,1.4577014242287984e+17,12.710100174,-999.0,-999.0,-999.0,-999.0,312674173200352256,11.530025,Obj,0,0.0,14.242704,31.48278,0,1
258609207,G17219739712489,312493784573938944,J005704.04+304245.9,2014-11-03,56965,56964,EG005307N302057V01,9,207,14.266848,30.712772,22.73,67.09,67.54,40.28,30.68,STAR,A7,-0.0002712877,1.03071e-05,1.448501426661555e+17,-999.0,-999.0,17.4470996857,-999.0,-999.0,312493784573938944,13.785814,Obj,0,0.0,14.266848,30.712772,0,1
186213036,G17238268809579,312653900954739840,J005704.59+311124.0,2013-12-01,56628,56627,VB011N30V1,13,36,14.269131,31.190008,3.81,29.71,24.35,25.38,17.13,STAR,A7,-0.000159477,2.5551e-05,1.4542014269175853e+17,15.5076999664,15.3521995544,15.3305997849,15.3705997467,15.3527002335,312653900954739840,15.317227,Obj,0,0.0,14.269131,31.190008,128,1
10804038,G17225502510149,307741145562772992,J005706.37+271318.3,2011-12-03,55899,55898,B9903,4,38,14.27657,27.2217703,0.38,2.11,4.64,7.1,5.0,STAR,A3,-0.0004597,3.3e-05,1.4066014276980642e+17,-999.0,-999.0,-999.0,20.1387004852,-999.0,307741145562772992,16.45581,F-Std,0,0.0,14.27657,27.2217703,0,0
10815218,G17225964164202,310808714284777600,J005707.97+280309.7,2011-12-03,55899,55898,B9903,15,218,14.283237,28.052713,0.17,1.85,2.99,8.04,6.39,STAR,A0,0.00017476,4.166e-05,1.4166014283138299e+17,-999.0,-999.0,-999.0,19.1525001526,-999.0,310808714284777600,14.740863,Obj,0,0.0,14.283237,28.052713,0,0
10811143,G17225021279581,311213781240489728,J005724.69+291350.3,2011-12-03,55899,55898,B9903,11,143,14.352883,29.230642,0.0,1.75,4.76,10.8,10.77,STAR,A0,0.00072281,4.259e-05,1.430701435293672e+17,17.7649993896,16.5932006836,16.0013008118,15.7372999191,15.5537996292,311213781240489728,16.530523,Obj,0,0.0,14.352883,29.230642,0,0
379409093,G17225225375232,310967971672048256,J005745.00+283556.6,2015-10-31,57327,57326,EG005558N271233B01,9,93,14.437511,28.599067,28.25,96.73,123.41,124.06,69.71,STAR,A5,-0.0001415646,9.2731e-06,1.4231014437501944e+17,14.5776996613,14.5690002441,14.6273002625,14.6972999573,14.6837997437,310967971672048256,14.48572,Obj,0,0.0,14.437511,28.599067,64,1
7702244,G17225225375232,310967971672048256,J005745.01+283556.5,2011-11-24,55890,55889,B9002,2,244,14.437579,28.599052,8.32,42.93,46.49,48.59,28.12,STAR,A5,-0.0001553408,1.94801e-05,1.4231014437501944e+17,14.5776996613,14.5690002441,14.6273002625,14.6972999573,14.6837997437,310967971672048256,14.48572,Obj,0,0.0,14.437579,28.599052,0,1
258609028,G17220214298888,312651014736720256,J005757.79+311054.8,2014-11-03,56965,56964,EG005307N302057V01,9,28,14.490797,31.181911,44.31,141.03,144.19,93.08,69.1,STAR,A6,-3.34565e-05,1.39763e-05,1.4541014490800858e+17,12.7916002274,-999.0,14.6111001968,-999.0,-999.0,312651014736720256,12.686982,Obj,0,0.0,14.490797,31.181911,0,1
96402222,G17220214298888,312651014736720256,J005757.79+311054.8,2012-12-25,56287,56286,VB016N33V2,2,222,14.490811,31.18191,18.66,55.55,42.85,20.09,19.58,STAR,A6,-1.38763e-05,1.41765e-05,1.4541014490800858e+17,12.7916002274,-999.0,14.6111001968,-999.0,-999.0,312651014736720256,12.686982,Obj,0,0.0,14.490811,31.18191,0,1
379508157,G17226533681561,2805641382718197120,J005800.82+263121.5,2015-10-31,57327,57326,EG005558N271233V01,8,157,14.5034526,26.5226558,32.16,116.34,129.45,144.53,101.07,STAR,A7,-0.0002260564,1.37762e-05,1.3982014503335781e+17,13.3950004578,13.359000206,13.4130001068,13.5298995972,13.5129003525,2805641382718197120,13.392248,F-Std,0,0.0,14.5034526,26.5226558,0,1
